price,transmission,mileage,fuelType,tax,mpg,engineSize
12500.00,1.00,15735.00,1.00,150.00,55.40,1.40
16500.00,2.00,36203.00,2.00,20.00,64.20,2.00
11000.00,1.00,29946.00,1.00,30.00,55.40,1.40
16800.00,2.00,25952.00,2.00,145.00,67.30,2.00
17300.00,1.00,1998.00,1.00,145.00,49.60,1.00
13900.00,2.00,32260.00,1.00,30.00,58.90,1.40
13250.00,2.00,76788.00,2.00,30.00,61.40,2.00
11750.00,1.00,75185.00,2.00,20.00,70.60,2.00
10200.00,1.00,46112.00,1.00,20.00,60.10,1.40
12000.00,1.00,22451.00,1.00,30.00,55.40,1.40
16100.00,1.00,28955.00,1.00,145.00,58.90,1.40
16500.00,2.00,52198.00,2.00,125.00,57.60,2.00
17000.00,1.00,44915.00,2.00,145.00,52.30,2.00
16400.00,1.00,21695.00,1.00,30.00,58.90,1.40
15400.00,1.00,47348.00,2.00,30.00,61.40,2.00
14500.00,2.00,26156.00,1.00,145.00,58.90,1.40
15700.00,2.00,28396.00,2.00,145.00,53.30,2.00
13900.00,2.00,30516.00,1.00,30.00,56.50,1.40
19000.00,2.00,37652.00,2.00,200.00,47.10,2.00
17000.00,1.00,34110.00,1.00,145.00,47.90,1.40
17300.00,2.00,37100.00,2.00,145.00,67.30,2.00
20200.00,2.00,23714.00,2.00,200.00,47.10,2.00
22500.00,2.00,21649.00,2.00,145.00,58.90,3.00
17500.00,2.00,62748.00,2.00,150.00,53.30,3.00
20000.00,2.00,23789.00,2.00,200.00,47.10,2.00
18500.00,2.00,17418.00,2.00,145.00,62.80,2.00
19500.00,2.00,33300.00,2.00,145.00,61.40,2.00
15800.00,1.00,10793.00,1.00,145.00,56.50,1.40
17200.00,2.00,25138.00,2.00,145.00,70.60,2.00
14000.00,1.00,61176.00,2.00,30.00,62.80,2.00
9500.00,2.00,54754.00,2.00,0.00,76.30,1.60
16500.00,1.00,21369.00,1.00,125.00,51.40,1.40
15000.00,2.00,39190.00,2.00,205.00,47.90,2.00
16000.00,2.00,47482.00,1.00,150.00,47.90,1.40
16900.00,2.00,40501.00,2.00,150.00,51.40,2.00
12300.00,2.00,43195.00,2.00,200.00,47.90,2.00
10800.00,1.00,31447.00,1.00,145.00,67.30,1.00
19400.00,2.00,34030.00,2.00,125.00,58.90,2.00
16000.00,1.00,29063.00,2.00,145.00,70.60,2.00
17100.00,1.00,29545.00,2.00,145.00,65.70,2.00
11300.00,1.00,75619.00,2.00,20.00,68.90,2.00
17200.00,2.00,39603.00,2.00,160.00,50.40,2.00
20300.00,2.00,42908.00,2.00,145.00,51.40,2.00
13200.00,2.00,83872.00,2.00,125.00,58.90,2.00
15200.00,2.00,58750.00,1.00,145.00,47.90,1.40
15700.00,1.00,2029.00,1.00,145.00,49.60,1.00
16600.00,2.00,22958.00,1.00,145.00,50.40,1.80
14400.00,2.00,32097.00,2.00,145.00,72.40,2.00
20200.00,2.00,13057.00,1.00,145.00,53.30,2.00
23700.00,2.00,20278.00,1.00,145.00,38.70,3.00
12750.00,1.00,52561.00,2.00,0.00,74.30,2.00
13000.00,2.00,31604.00,2.00,20.00,67.30,2.00
15900.00,1.00,32011.00,1.00,145.00,49.60,1.40
15000.00,1.00,39134.00,2.00,30.00,60.10,2.00
14700.00,2.00,89483.00,2.00,205.00,47.10,2.00
15000.00,2.00,56291.00,1.00,200.00,42.80,1.80
16000.00,2.00,47767.00,2.00,20.00,61.40,2.00
11000.00,1.00,34315.00,1.00,125.00,53.30,1.40
10200.00,1.00,66369.00,2.00,0.00,83.10,1.60
18500.00,1.00,34110.00,2.00,30.00,61.40,2.00
7000.00,1.00,76269.00,2.00,0.00,74.30,1.60
10600.00,1.00,37840.00,2.00,20.00,70.60,1.60
16000.00,1.00,26249.00,2.00,30.00,67.30,1.60
15000.00,1.00,44898.00,2.00,125.00,57.70,2.00
14000.00,1.00,67161.00,1.00,150.00,51.40,1.40
18950.00,1.00,17992.00,1.00,150.00,54.30,1.50
10200.00,1.00,97440.00,2.00,20.00,70.60,2.00
11700.00,1.00,19268.00,1.00,150.00,67.30,1.00
11500.00,2.00,51441.00,1.00,125.00,50.40,1.80
10800.00,1.00,18181.00,1.00,0.00,67.30,1.00
12500.00,1.00,19494.00,2.00,30.00,67.30,2.00
16600.00,1.00,32808.00,2.00,30.00,61.40,2.00
13100.00,1.00,25965.00,2.00,145.00,65.70,2.00
8300.00,1.00,88215.00,2.00,20.00,68.90,2.00
16000.00,1.00,5704.00,1.00,145.00,49.60,1.00
16900.00,1.00,10959.00,1.00,145.00,51.40,1.40
19600.00,2.00,30201.00,2.00,200.00,47.10,2.00
21800.00,2.00,19319.00,1.00,145.00,40.40,2.00
16200.00,1.00,22582.00,2.00,145.00,61.40,2.00
18700.00,1.00,20052.00,1.00,145.00,49.60,2.00
16100.00,1.00,16666.00,2.00,30.00,60.10,2.00
11300.00,1.00,25626.00,2.00,0.00,74.30,1.60
14100.00,1.00,10460.00,1.00,20.00,60.10,1.40
16600.00,2.00,43307.00,2.00,125.00,57.60,2.00
11300.00,1.00,29327.00,1.00,30.00,55.40,1.40
15600.00,1.00,36714.00,1.00,125.00,51.40,1.40
10000.00,1.00,28324.00,1.00,125.00,53.30,1.40
14500.00,1.00,12100.00,1.00,30.00,56.50,1.40
16100.00,1.00,18001.00,2.00,145.00,62.80,2.00
10600.00,1.00,28760.00,1.00,30.00,55.40,1.40
25499.00,3.00,4000.00,1.00,145.00,44.10,1.50
25499.00,3.00,7897.00,2.00,145.00,47.90,2.00
15500.00,2.00,24744.00,2.00,125.00,56.50,3.00
16200.00,2.00,30075.00,2.00,160.00,51.40,2.00
14000.00,1.00,12577.00,1.00,30.00,58.90,1.40
17300.00,2.00,24421.00,2.00,30.00,61.40,2.00
10600.00,1.00,15567.00,2.00,0.00,76.30,1.60
17500.00,1.00,15207.00,1.00,145.00,51.40,1.40
15000.00,1.00,14864.00,1.00,145.00,52.30,1.40
25499.00,3.00,9000.00,1.00,145.00,38.70,2.00
25000.00,1.00,5000.00,1.00,145.00,38.70,2.00
31000.00,3.00,4264.00,1.00,145.00,33.20,2.00
28000.00,1.00,4000.00,2.00,145.00,42.80,2.00
28000.00,1.00,4000.00,1.00,145.00,42.20,1.50
21499.00,1.00,2721.00,2.00,145.00,49.60,1.60
26000.00,3.00,4000.00,1.00,145.00,42.20,1.50
30000.00,3.00,49649.00,2.00,235.00,42.20,3.00
17000.00,1.00,14068.00,1.00,145.00,51.40,1.40
14500.00,1.00,23092.00,1.00,145.00,52.30,1.40
17500.00,2.00,30682.00,2.00,160.00,50.40,2.00
10500.00,1.00,18272.00,1.00,0.00,67.30,1.00
14800.00,2.00,23714.00,2.00,145.00,68.90,1.60
12000.00,2.00,71311.00,2.00,30.00,61.40,2.00
22000.00,2.00,29477.00,2.00,145.00,61.40,2.00
17800.00,2.00,60551.00,2.00,200.00,47.10,2.00
19800.00,2.00,42071.00,2.00,30.00,61.40,2.00
19500.00,2.00,55774.00,2.00,235.00,44.80,3.00
9800.00,1.00,36462.00,2.00,0.00,76.30,1.60
15500.00,1.00,25376.00,1.00,30.00,57.60,1.40
16800.00,2.00,39388.00,2.00,145.00,67.30,2.00
11500.00,1.00,64207.00,2.00,20.00,67.30,2.00
12100.00,1.00,49221.00,1.00,145.00,55.40,1.40
12700.00,1.00,27179.00,2.00,0.00,76.30,1.60
11700.00,1.00,31376.00,2.00,125.00,58.90,2.00
11500.00,2.00,62668.00,2.00,145.00,53.30,2.00
17400.00,1.00,10001.00,1.00,145.00,51.40,1.40
16000.00,2.00,52544.00,2.00,30.00,61.40,2.00
13100.00,1.00,63097.00,1.00,125.00,49.60,2.00
14700.00,1.00,72967.00,2.00,30.00,61.40,2.00
21100.00,2.00,32771.00,2.00,145.00,70.60,2.00
24400.00,2.00,13303.00,1.00,145.00,40.40,2.00
18750.00,1.00,2752.00,1.00,145.00,44.80,1.50
16500.00,1.00,23307.00,2.00,160.00,49.60,2.00
11000.00,1.00,34551.00,1.00,150.00,67.30,1.00
13400.00,1.00,25457.00,2.00,150.00,68.90,1.60
20000.00,1.00,12167.00,1.00,150.00,50.40,1.40
15400.00,2.00,23237.00,2.00,20.00,67.30,2.00
15500.00,2.00,11863.00,2.00,160.00,50.40,2.00
14800.00,1.00,21225.00,2.00,145.00,72.40,2.00
17100.00,2.00,32083.00,2.00,30.00,61.40,2.00
